DOI,Catalyst total metal loading (%),Catalyst average crystallite size (nm),Catalyst crystallinity index (-),Catalyst specific surface area (m².g⁻¹),Catalyst pore volume (cm³.g⁻¹),Catalyst average pore diameter (nm),Reaction temperature (°C),Gas hourly space velocity (mL.h⁻¹.gcat⁻¹),Ammonia conversion (%)
https://doi.org/10.1007/s10562-022-04214-w,0,17.43,42.67,46.8,0.151,4.226,400,30000,1.56863
https://doi.org/10.1007/s10562-022-04214-w,0,17.43,42.67,46.8,0.151,4.226,500,30000,2.94118
https://doi.org/10.1007/s10562-022-04214-w,0,17.43,42.67,46.8,0.151,4.226,550,30000,3.33333
https://doi.org/10.1007/s10562-022-04214-w,0,17.43,42.67,46.8,0.151,4.226,600,30000,4.31373
https://doi.org/10.1007/s10562-022-04214-w,0,17.43,42.67,46.8,0.151,4.226,650,30000,5.29412
https://doi.org/10.1007/s10562-022-04214-w,17.2,18.88,84.93,13.6,0.046,4.227,400,30000,5.09804
https://doi.org/10.1007/s10562-022-04214-w,17.2,18.88,84.93,13.6,0.046,4.227,500,30000,28.2353
https://doi.org/10.1007/s10562-022-04214-w,17.2,18.88,84.93,13.6,0.046,4.227,550,30000,47.6471
https://doi.org/10.1007/s10562-022-04214-w,17.2,18.88,84.93,13.6,0.046,4.227,600,30000,65.6863
https://doi.org/10.1007/s10562-022-04214-w,17.2,18.88,84.93,13.6,0.046,4.227,650,30000,87.2549
https://doi.org/10.1007/s10562-022-04214-w,22.5,17.33,66.33,12.5,0.04,3.386,400,30000,8.82353
https://doi.org/10.1007/s10562-022-04214-w,22.5,17.33,66.33,12.5,0.04,3.386,500,30000,36.0784
https://doi.org/10.1007/s10562-022-04214-w,22.5,17.33,66.33,12.5,0.04,3.386,550,30000,59.0196
https://doi.org/10.1007/s10562-022-04214-w,22.5,17.33,66.33,12.5,0.04,3.386,600,30000,85.4902
https://doi.org/10.1007/s10562-022-04214-w,22.5,17.33,66.33,12.5,0.04,3.386,650,30000,97.6471
https://doi.org/10.1007/s10562-022-04214-w,26.4,21.55,76.79,9.52,0.046,3.033,400,30000,6.66667
https://doi.org/10.1007/s10562-022-04214-w,26.4,21.55,76.79,9.52,0.046,3.033,500,30000,29.6078
https://doi.org/10.1007/s10562-022-04214-w,26.4,21.55,76.79,9.52,0.046,3.033,550,30000,49.8039
https://doi.org/10.1007/s10562-022-04214-w,26.4,21.55,76.79,9.52,0.046,3.033,600,30000,70.5882
https://doi.org/10.1007/s10562-022-04214-w,26.4,21.55,76.79,9.52,0.046,3.033,650,30000,89.4118
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,17.06,23.15,391,0.34,4.34,400,30000,16.9533
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,17.06,23.15,391,0.34,4.34,500,30000,59.9509
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,17.06,23.15,391,0.34,4.34,550,30000,86.2408
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,17.06,23.15,391,0.34,4.34,600,30000,99.2629
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,13.40,73.99,443,0.51,5.22,400,30000,19.656
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,13.40,73.99,443,0.51,5.22,500,30000,65.8477
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,13.40,73.99,443,0.51,5.22,550,30000,92.1376
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,13.40,73.99,443,0.51,5.22,600,30000,100
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,13.71,21.52,374,0.54,5.85,400,30000,15.4791
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,13.71,21.52,374,0.54,5.85,500,30000,60.9337
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,13.71,21.52,374,0.54,5.85,550,30000,88.6978
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,13.71,21.52,374,0.54,5.85,600,30000,99.7543
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,11.36,21.45,276,0.55,7.32,400,30000,14.9877
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,11.36,21.45,276,0.55,7.32,500,30000,58.7224
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,11.36,21.45,276,0.55,7.32,550,30000,85.5037
https://doi.org/10.1016/j.ijhydene.2022.11.050,40,11.36,21.45,276,0.55,7.32,600,30000,99.5086
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.7,15.08,80.59,88.4,0.113,10.11,350,30000,1.51844
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.7,15.08,80.59,88.4,0.113,10.11,450,30000,11.2798
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.7,15.08,80.59,88.4,0.113,10.11,550,30000,30.3688
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.7,15.08,80.59,88.4,0.113,10.11,650,30000,65.7267
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.7,15.08,80.59,88.4,0.113,10.11,650,30000,62.2177
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.6,19.49,86.18,76.5,0.11,11.308,350,30000,8.67679
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.6,19.49,86.18,76.5,0.11,11.308,450,30000,20.6074
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.6,19.49,86.18,76.5,0.11,11.308,550,30000,41.4317
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.6,19.49,86.18,76.5,0.11,11.308,650,30000,97.18
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.6,19.49,86.18,76.5,0.11,11.308,650,30000,96.0986
https://doi.org/10.1016/j.ijhydene.2022.10.255,8.8,18.64,85.24,83.2,0.11,11.22,350,30000,4.12148
https://doi.org/10.1016/j.ijhydene.2022.10.255,8.8,18.64,85.24,83.2,0.11,11.22,450,30000,14.3167
https://doi.org/10.1016/j.ijhydene.2022.10.255,8.8,18.64,85.24,83.2,0.11,11.22,550,30000,35.3579
https://doi.org/10.1016/j.ijhydene.2022.10.255,8.8,18.64,85.24,83.2,0.11,11.22,650,30000,80.0434
https://doi.org/10.1016/j.ijhydene.2022.10.255,8.8,18.64,85.24,83.2,0.11,11.22,650,30000,77.6181
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.6,18.29,86.27,80.3,0.109,11.05,350,30000,1.73536
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.6,18.29,86.27,80.3,0.109,11.05,450,30000,8.67679
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.6,18.29,86.27,80.3,0.109,11.05,550,30000,21.0412
https://doi.org/10.1016/j.ijhydene.2022.10.255,9.6,18.29,86.27,80.3,0.109,11.05,650,30000,42.7332
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,400,6000,15.0812
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,500,6000,42.6914
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,550,6000,87.239
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,600,6000,97.9118
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,400,9000,9.74478
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,500,9000,38.2831
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,550,9000,85.1508
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,600,9000,96.5197
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,400,15000,0.232019
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,500,15000,16.2413
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,550,15000,62.877
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,600,15000,87.007
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,400,30000,0.232019
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,500,30000,11.3689
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,550,30000,45.0116
https://doi.org/10.1016/j.ijhydene.2022.11.338,19.44,13.92,47.78,58,0.46,29.5,600,30000,71.4617
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.49,24.98,59.69,148.3,0.442,5.233,400,30000,30.9392
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.49,24.98,59.69,148.3,0.442,5.233,500,30000,64.6409
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.49,24.98,59.69,148.3,0.442,5.233,600,30000,87.8453
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.49,24.98,59.69,148.3,0.442,5.233,700,30000,99.4475
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.49,24.98,59.69,148.3,0.442,5.233,800,30000,99.4475
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.49,24.98,59.69,148.3,0.442,5.233,550,30000,76.9231
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.49,24.98,59.69,148.3,0.442,5.233,650,30000,98.263
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.58,29.14,75.92,115.3,0.161,5.378,400,30000,11.6022
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.58,29.14,75.92,115.3,0.161,5.378,500,30000,36.7403
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.58,29.14,75.92,115.3,0.161,5.378,600,30000,64.6409
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.58,29.14,75.92,115.3,0.161,5.378,700,30000,86.7403
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.58,29.14,75.92,115.3,0.161,5.378,800,30000,99.4475
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.52,23.65,60.36,121.4,0.329,4.97,400,30000,22.3757
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.52,23.65,60.36,121.4,0.329,4.97,500,30000,47.5138
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.52,23.65,60.36,121.4,0.329,4.97,600,30000,78.7293
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.52,23.65,60.36,121.4,0.329,4.97,700,30000,99.4475
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.52,23.65,60.36,121.4,0.329,4.97,800,30000,99.4475
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.32,24.05,82.88,105.3,0.151,7.931,400,30000,4.97238
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.32,24.05,82.88,105.3,0.151,7.931,500,30000,22.0994
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.32,24.05,82.88,105.3,0.151,7.931,600,30000,52.2099
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.32,24.05,82.88,105.3,0.151,7.931,700,30000,74.8619
https://doi.org/10.1016/j.ijhydene.2021.11.117,4.32,24.05,82.88,105.3,0.151,7.931,800,30000,99.4475
https://doi.org/10.1016/j.ijhydene.2022.02.046,11.6,19.21,4.94,222.84,0.447,7.58,400,30000,6.87117
https://doi.org/10.1016/j.ijhydene.2022.02.046,11.6,19.21,4.94,222.84,0.447,7.58,500,30000,60.1227
https://doi.org/10.1016/j.ijhydene.2022.02.046,11.6,19.21,4.94,222.84,0.447,7.58,550,30000,88.8344
https://doi.org/10.1016/j.ijhydene.2022.02.046,11.6,19.21,4.94,222.84,0.447,7.58,600,30000,89.816
https://doi.org/10.1016/j.ijhydene.2022.02.046,23.5,11.81,3.98,236.64,0.49,4.07,400,30000,14.9693
https://doi.org/10.1016/j.ijhydene.2022.02.046,23.5,11.81,3.98,236.64,0.49,4.07,500,30000,79.7546
https://doi.org/10.1016/j.ijhydene.2022.02.046,23.5,11.81,3.98,236.64,0.49,4.07,550,30000,94.7239
https://doi.org/10.1016/j.ijhydene.2022.02.046,23.5,11.81,3.98,236.64,0.49,4.07,600,30000,96.6871
https://doi.org/10.1016/j.ijhydene.2022.02.046,18.6,13.62,6.84,273.67,0.503,3.76,400,30000,8.83436
https://doi.org/10.1016/j.ijhydene.2022.02.046,18.6,13.62,6.84,273.67,0.503,3.76,500,30000,66.7485
https://doi.org/10.1016/j.ijhydene.2022.02.046,18.6,13.62,6.84,273.67,0.503,3.76,550,30000,89.5706
https://doi.org/10.1016/j.ijhydene.2022.02.046,18.6,13.62,6.84,273.67,0.503,3.76,600,30000,94.4785
https://doi.org/10.1016/j.cattod.2022.02.020,35,20.70,82.40,6.57,0.03,14.87,400,30000,18.3425
https://doi.org/10.1016/j.cattod.2022.02.020,35,20.70,82.40,6.57,0.03,14.87,450,30000,46.4088
https://doi.org/10.1016/j.cattod.2022.02.020,35,20.70,82.40,6.57,0.03,14.87,500,30000,87.2928
https://doi.org/10.1016/j.cattod.2022.02.020,35,20.70,82.40,6.57,0.03,14.87,550,30000,96.7956
https://doi.org/10.1016/j.cattod.2022.02.020,35,20.70,82.40,6.57,0.03,14.87,600,30000,99.6685
https://doi.org/10.1016/j.fuel.2022.125094,3.64,20.94,5.72,121.8,0.87,14.2,350,30000,4.38596
https://doi.org/10.1016/j.fuel.2022.125094,3.64,20.94,5.72,121.8,0.87,14.2,400,30000,10.2339
https://doi.org/10.1016/j.fuel.2022.125094,3.64,20.94,5.72,121.8,0.87,14.2,450,30000,17.5439
https://doi.org/10.1016/j.fuel.2022.125094,3.64,20.94,5.72,121.8,0.87,14.2,500,30000,24.5614
https://doi.org/10.1016/j.fuel.2022.125094,3.64,20.94,5.72,121.8,0.87,14.2,550,30000,35.3801
https://doi.org/10.1016/j.fuel.2022.125094,3.42,17.63,76.38,8.5,0.03,8,350,30000,9.35673
https://doi.org/10.1016/j.fuel.2022.125094,3.42,17.63,76.38,8.5,0.03,8,400,30000,17.8363
https://doi.org/10.1016/j.fuel.2022.125094,3.42,17.63,76.38,8.5,0.03,8,450,30000,30.9942
https://doi.org/10.1016/j.fuel.2022.125094,3.42,17.63,76.38,8.5,0.03,8,500,30000,52.3392
https://doi.org/10.1016/j.fuel.2022.125094,3.42,17.63,76.38,8.5,0.03,8,550,30000,74.5614
https://doi.org/10.1016/j.fuel.2022.125094,3.58,16.42,72.69,9.6,0.03,6.8,350,30000,16.0819
https://doi.org/10.1016/j.fuel.2022.125094,3.58,16.42,72.69,9.6,0.03,6.8,400,30000,34.5029
https://doi.org/10.1016/j.fuel.2022.125094,3.58,16.42,72.69,9.6,0.03,6.8,450,30000,52.924
